1,Dakar,2613700,-17.48,14.72
2,Thies,307400,-16.93,14.81
3,Kaolack,275500,-16.1,14.15
4,Ziguinchor,244000,-16.29,12.59
5,Mbour,174900,-16.97,14.43
6,Saint-louis,171300,-16.49,16.03
7,Diourbel,123600,-16.24,14.66
8,Louga,102800,-16.25,15.61
9,Richard toll,82200,-15.69,16.47
10,Tambacounda,79200,-13.68,13.78
11,Mbacke,74100,-15.92,14.8
12,Kolda,72400,-14.95,12.91
13,Tivaouane,51200,-16.83,14.97
14,Fatick,46600,-16.42,14.35
15,Bignona,41900,-16.24,12.83
16,Joal-fadiouth,37000,-16.85,14.18
17,Kaffrine,31300,-15.56,14.11
18,Bambey,30900,-16.46,14.71
19,Pout,29400,-17.07,14.77
20,Dagana,29000,-15.5,16.51
21,Kayar,28500,-17.13,14.93
22,Velingara,25800,-14.11,13.15
23,Nioro,20800,-15.79,13.76
24,Sedhiou,20600,-15.59,12.72
25,Mekhe,19500,-16.63,15.13
26,Kebemer,18100,-16.45,15.37
27,Dahra,16900,-15.49,15.35
28,Medina,16800,-15.59,13.61
29,Kedougou,16400,-12.18,12.56
30,Guinguineo,15500,-15.96,14.28
31,Koungheul,14700,-14.82,13.98
32,Sokone,14700,-16.39,13.88
33,Khombole,14600,-16.7,14.76
34,Medina gounas,14100,-13.77,13.14
35,Wassadou,14000,-14.17,12.75
36,Touba,13400,-15.9,14.87
37,Matam,12400,-13.32,15.6
38,Linguere,11300,-15.12,15.4
39,Waounde,11300,-12.87,15.27
40,Gossas,10700,-16.08,14.5
41,Bakel,10400,-12.46,14.91
42,Goudomp,10000,-15.95,12.54
43,Dabo,9800,-14.49,12.89
44,Toubakouta,9800,-16.49,13.79
45,Ourossogui,9600,-13.32,15.6
46,Marsassoum,9000,-15.98,12.83
47,Ndoffane,8800,-15.93,13.92
48,Thionck-essyl,8000,-16.52,12.78
49,Thiadiaye,7800,-16.7,14.42
50,Podor,7600,-14.97,16.66
51,Oussouye,6900,-16.55,12.5
52,Diofior,6700,-16.67,14.19
53,Gandiaye,6500,-16.27,14.23
54,Nguekhokh,6200,-17.01,14.51
55,Kanel,5600,-13.17,15.49
56,Ndioum,5400,-14.65,16.51
57,Thilogne,5200,-13.6,15.97
58,Foundiougne,4700,-16.48,14.12
59,Passi,4700,-16.27,13.98
60,Semme,3800,-12.95,15.2
61,Kahone,2900,-16.02,14.15
62,Gollere,2800,-14.1,16.26
