Region,Household members age: 0-4,Household members age: 5-9,Household members age: 10-14,Household members age: 15-19,Household members age: 20-24,Household members age: 25-29,Household members age: 30-34,Household members age: 35-39,Household members age: 40-44,Household members age: 45-49,Household members age: 50-54,Household members age: 55-59,Household members age: 60-64,Household members age: 65-69,Household members age: 70-74,Household members age: 75-79,Household members age: 80 +,Household members age: Missing /DK
Region: West,14.2,12.7,11.8,9.5,9.8,8.8,7.1,5.4,4.4,2.8,3.8,2.8,2,1.3,1.3,0.5,1,0.8
Region: ..Dakar,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
Region: ..Thiès,15.4,15.2,13.9,9.8,8.7,6.9,6.1,4.5,3.7,2.5,3.9,2.6,2.3,1.2,1.6,0.7,1,0
Region: Central,18.5,16.9,13.3,9.9,7.9,5.9,5,4.2,3.4,2.6,3.4,2.2,1.9,1.3,1.6,0.7,0.9,0.2
Region: ..Diourbel,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
Region: ..Kaolack (2005),19.2,17.4,13.4,9.8,7.6,5.8,4.8,4.4,3.3,2.6,3.3,2.1,1.9,1.2,1.4,0.6,0.8,0.2
Region: ....Kaffrine,19.5,18.8,12.5,9.1,7.5,6,4.3,4.6,3,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1,0.1
Region: ....Kaolack (2010),19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
Region: ..Louga,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4,2,2.1,1.4,1.6,0.6,1,0.2
Region: ..Fatick,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
Region: South,17.9,16.1,13.6,10.5,8.2,6.4,4.9,4,3.5,2.5,3.4,2.2,2,1.5,1.6,0.8,0.9,0
Region: ..Ziguinchor,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
Region: ..Kolda (2005),19.5,17.3,14.1,10,7.4,5.9,4.6,4,3.4,2.4,3.3,2.1,1.9,1.5,1.4,0.7,0.7,0
Region: ....Sédhiou,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0
Region: ....Kolda (2010),20,17,13.6,9.9,7.7,6,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0
Region: North and East,18.1,16.5,13.1,9.9,8.1,6.3,5.2,4.6,3.4,2.9,3.2,2.2,2,1.1,1.4,0.8,0.9,0.3
Region: ..Matam,18.6,16.4,13.3,9.7,8.7,5.6,5.1,4.2,3.1,2.5,3.3,2.1,2.4,1.4,1.7,0.7,0.9,0.2
Region: ..Saint Louis,17.3,15,13.7,9.9,8.2,6.4,5.4,5,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1,1.1,0.5
Region: ..Tambacounda (2005),18.7,18.3,12.4,9.8,7.5,6.6,5.1,4.3,3.1,2.9,3.1,2.3,2,1.2,1.3,0.5,0.6,0.1
Region: ....Kédougou,18,19,13.3,9.1,6.1,5.9,5,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1,0.3,0.6,0.2
Region: ....Tambacounda (2010),18.8,18.2,12.3,10,7.8,6.7,5.2,4.2,3,3,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
