Region,Type of cooking fuel: Electricity,"Type of cooking fuel: LPG, natural gas",Type of cooking fuel: Charcoal,"Type of cooking fuel: Firewood, straw",Type of cooking fuel: Dung,Type of cooking fuel: Other,Persons per sleeping room: 1-2,Persons per sleeping room: 3-4,Persons per sleeping room: 5-6,Persons per sleeping room: 7 +,Persons per sleeping room: Missing /DK
Region: West,1.8,65.1,8.8,21.5,0.6,2.2,62.6,29,6.3,2.2,0
Region: ..Dakar,2.5,80.8,10.6,4,0,2.2,60.8,29.6,7.1,2.5,0
Region: ..Thiès,0.3,32.5,5.1,57.9,1.8,2.3,66.2,27.7,4.6,1.5,0
Region: Central,0.6,11.9,14.3,68.6,3.4,1.3,64.7,30,4.1,1.2,0
Region: ..Diourbel,0.5,11,25.1,56.7,4.4,2.3,69.7,26.2,3.2,1,0
Region: ..Kaolack (2005),0.7,12.4,11.7,72.9,1.6,0.7,61.8,32.5,4.5,1.3,0
Region: ....Kaffrine,0.3,5.2,19,74.6,0.3,0.5,60.7,32.8,4.8,1.6,0
Region: ....Kaolack (2010),0.9,17.1,7,71.8,2.4,0.9,62.4,32.3,4.2,1,0
Region: ..Louga,1.1,15.1,9.4,73.1,0.8,0.6,63.5,31,4.7,0.8,0
Region: ..Fatick,0,8.6,4.1,77.7,8.3,1.3,62.5,31.1,4.6,1.8,0
Region: South,1.7,3,15.3,79.3,0,0.7,68,27.4,3.5,1.1,0
Region: ..Ziguinchor,2.5,5.2,25.8,65.2,0.1,1.2,76.2,19.2,3.3,1.2,0
Region: ..Kolda (2005),1.2,1.7,8.9,87.8,0,0.4,63,32.3,3.6,1.1,0.1
Region: ....Sédhiou,0.9,1.6,4.9,91.9,0,0.6,69.8,26,2.9,1.1,0.2
Region: ....Kolda (2010),1.4,1.7,11.6,84.9,0,0.3,58.2,36.7,4,1,0
Region: North and East,0.8,9.9,11.5,76.6,0.4,0.8,57.6,32.2,7.8,2.4,0
Region: ..Matam,0.9,6.3,5.7,84.9,0.9,1.4,50.8,36.3,9.2,3.6,0
Region: ..Saint Louis,1.4,18.3,12.1,67.3,0.4,0.5,56.1,32.1,9.5,2.3,0
Region: ..Tambacounda (2005),0.1,1.8,14.4,82.8,0.1,0.8,63.7,29.6,5,1.8,0
Region: ....Kédougou,0,1.5,8.9,88.7,0,1,67.4,27.7,3.2,1.6,0
Region: ....Tambacounda (2010),0.1,1.9,15.7,81.4,0.1,0.8,62.8,30,5.4,1.8,0
