Facts: Value;Indicators: Key;Indicators: Name;Indicators: Description;Indicators: Full Name;Date;Time Period;Regions: Key;Regions: Code;Regions: Name
443.729521701495;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1980-01-01 00:00:00;Annual;16754916;;Senegal
585.31508546752525;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1981-01-01 00:00:00;Annual;16754916;;Senegal
627.19845381453683;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1982-01-01 00:00:00;Annual;16754916;;Senegal
758.21452114014221;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1983-01-01 00:00:00;Annual;16754916;;Senegal
702.2115910352976;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1984-01-01 00:00:00;Annual;16754916;;Senegal
602.90132535832856;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1985-01-01 00:00:00;Annual;16754916;;Senegal
1168.4920204366626;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2010-01-01 00:00:00;Annual;16754916;;Senegal
1261.3724639790282;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2011-01-01 00:00:00;Annual;16754916;;Senegal
1237.8471574089997;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2012-01-01 00:00:00;Annual;16754916;;Senegal
1036.0441731245171;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2004-01-01 00:00:00;Annual;16754916;;Senegal
1057.2615350930653;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2005-01-01 00:00:00;Annual;16754916;;Senegal
1022.9399729793325;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2006-01-01 00:00:00;Annual;16754916;;Senegal
1022.0963144667104;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2007-01-01 00:00:00;Annual;16754916;;Senegal
1040.9736896380834;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2008-01-01 00:00:00;Annual;16754916;;Senegal
1105.4821799639953;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2009-01-01 00:00:00;Annual;16754916;;Senegal
838.34550217693823;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1998-01-01 00:00:00;Annual;16754916;;Senegal
888.5999988137529;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1999-01-01 00:00:00;Annual;16754916;;Senegal
866.10813459184772;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2000-01-01 00:00:00;Annual;16754916;;Senegal
879.14243902552096;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2001-01-01 00:00:00;Annual;16754916;;Senegal
910.65255267819157;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2002-01-01 00:00:00;Annual;16754916;;Senegal
970.30328870655171;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;2003-01-01 00:00:00;Annual;16754916;;Senegal
598.4062039415403;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1992-01-01 00:00:00;Annual;16754916;;Senegal
561.58752411365481;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1993-01-01 00:00:00;Annual;16754916;;Senegal
834.82137741994711;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1994-01-01 00:00:00;Annual;16754916;;Senegal
844.3979445385055;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1995-01-01 00:00:00;Annual;16754916;;Senegal
770.83043931453631;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1996-01-01 00:00:00;Annual;16754916;;Senegal
741.22320630134664;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1997-01-01 00:00:00;Annual;16754916;;Senegal
631.22633411415552;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1986-01-01 00:00:00;Annual;16754916;;Senegal
587.00782066254976;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1987-01-01 00:00:00;Annual;16754916;;Senegal
590.15678247381879;278;Exportation of good and service;;A prix constants de 1999 (milliards de FCFA)\Exportation of good and service;1988-01-01 00:00:00;Annual;16754916;;Senegal
