Region,Level of education: No education,Level of education: Primary,Level of education: Secondary,Level of education: Higher,Level of education: DK/missing
Region: West,41.6,35.5,18.3,3.4,1.2
Region: ..Dakar,33.4,38.9,21.5,5,1.2
Region: ..Thiès,56,29.5,12.8,0.6,1.1
Region: Central,71.1,21.1,7.1,0.1,0.5
Region: ..Diourbel,80,14,5.4,0.1,0.5
Region: ..Kaolack (2005),67,24.7,7.7,0.1,0.4
Region: ....Kaffrine,78.6,17,4.1,0,0.3
Region: ....Kaolack (2010),61.1,28.7,9.6,0.2,0.4
Region: ..Louga,75.3,18.8,5,0.2,0.8
Region: ..Fatick,54.6,32.3,12.3,0.2,0.6
Region: South,52.3,34.1,13,0.3,0.3
Region: ..Ziguinchor,33.9,40,25.1,0.5,0.5
Region: ..Kolda (2005),61.3,31.2,7.2,0.2,0.2
Region: ....S_dhiou,63.6,29.1,6.9,0.1,0.3
Region: ....Kolda (2010),59.5,32.8,7.4,0.2,0.2
Region: North and East,60.9,30,8.3,0.3,0.5
Region: ..Matam,69.2,24.5,5.7,0.2,0.4
Region: ..Saint Louis,51.6,34.7,12.4,0.6,0.7
Region: ..Tambacounda (2005),66,28.4,5.3,0.1,0.2
Region: ....K_dougou,54.6,37.1,7.2,0,1
Region: ....Tambacounda (2010),68,26.9,5,0.1,0.1
