arr,Female Level of education: No education,Female Level of education: Primary,Female Level of education: Secondary,Female Level of education: Higher,Female Level of education: DK/missing
0,33.4,38.9,21.5,5.0,1.2
1,33.4,38.9,21.5,5.0,1.2
2,33.4,38.9,21.5,5.0,1.2
3,33.4,38.9,21.5,5.0,1.2
4,33.4,38.9,21.5,5.0,1.2
5,33.4,38.9,21.5,5.0,1.2
6,33.4,38.9,21.5,5.0,1.2
7,33.4,38.9,21.5,5.0,1.2
8,33.4,38.9,21.5,5.0,1.2
9,33.4,38.9,21.5,5.0,1.2
10,33.4,38.9,21.5,5.0,1.2
11,33.4,38.9,21.5,5.0,1.2
12,33.4,38.9,21.5,5.0,1.2
13,33.4,38.9,21.5,5.0,1.2
14,33.4,38.9,21.5,5.0,1.2
15,33.4,38.9,21.5,5.0,1.2
16,33.4,38.9,21.5,5.0,1.2
17,33.4,38.9,21.5,5.0,1.2
18,33.4,38.9,21.5,5.0,1.2
19,33.4,38.9,21.5,5.0,1.2
20,33.4,38.9,21.5,5.0,1.2
21,33.4,38.9,21.5,5.0,1.2
22,80.0,14.0,5.4,0.1,0.5
23,80.0,14.0,5.4,0.1,0.5
24,80.0,14.0,5.4,0.1,0.5
25,80.0,14.0,5.4,0.1,0.5
26,80.0,14.0,5.4,0.1,0.5
27,80.0,14.0,5.4,0.1,0.5
28,80.0,14.0,5.4,0.1,0.5
29,80.0,14.0,5.4,0.1,0.5
30,54.6,32.3,12.3,0.2,0.6
31,54.6,32.3,12.3,0.2,0.6
32,54.6,32.3,12.3,0.2,0.6
33,54.6,32.3,12.3,0.2,0.6
34,54.6,32.3,12.3,0.2,0.6
35,54.6,32.3,12.3,0.2,0.6
36,54.6,32.3,12.3,0.2,0.6
37,54.6,32.3,12.3,0.2,0.6
38,54.6,32.3,12.3,0.2,0.6
39,75.3,18.8,5.0,0.2,0.8
40,75.3,18.8,5.0,0.2,0.8
41,75.3,18.8,5.0,0.2,0.8
42,75.3,18.8,5.0,0.2,0.8
43,75.3,18.8,5.0,0.2,0.8
44,75.3,18.8,5.0,0.2,0.8
45,75.3,18.8,5.0,0.2,0.8
46,75.3,18.8,5.0,0.2,0.8
47,75.3,18.8,5.0,0.2,0.8
48,75.3,18.8,5.0,0.2,0.8
49,75.3,18.8,5.0,0.2,0.8
50,61.1,28.7,9.6,0.2,0.4
51,61.1,28.7,9.6,0.2,0.4
52,61.1,28.7,9.6,0.2,0.4
53,61.1,28.7,9.6,0.2,0.4
54,61.1,28.7,9.6,0.2,0.4
55,61.1,28.7,9.6,0.2,0.4
56,61.1,28.7,9.6,0.2,0.4
57,61.1,28.7,9.6,0.2,0.4
58,78.6,17.0,4.1,0.0,0.3
59,78.6,17.0,4.1,0.0,0.3
60,78.6,17.0,4.1,0.0,0.3
61,78.6,17.0,4.1,0.0,0.3
62,78.6,17.0,4.1,0.0,0.3
63,78.6,17.0,4.1,0.0,0.3
64,78.6,17.0,4.1,0.0,0.3
65,78.6,17.0,4.1,0.0,0.3
66,78.6,17.0,4.1,0.0,0.3
67,51.6,34.7,12.4,0.6,0.7
68,51.6,34.7,12.4,0.6,0.7
69,51.6,34.7,12.4,0.6,0.7
70,51.6,34.7,12.4,0.6,0.7
71,51.6,34.7,12.4,0.6,0.7
72,51.6,34.7,12.4,0.6,0.7
73,51.6,34.7,12.4,0.6,0.7
74,59.5,32.8,7.4,0.2,0.2
75,59.5,32.8,7.4,0.2,0.2
76,59.5,32.8,7.4,0.2,0.2
77,59.5,32.8,7.4,0.2,0.2
78,59.5,32.8,7.4,0.2,0.2
79,59.5,32.8,7.4,0.2,0.2
80,59.5,32.8,7.4,0.2,0.2
81,59.5,32.8,7.4,0.2,0.2
82,59.5,32.8,7.4,0.2,0.2
83,63.6,29.1,6.9,0.1,0.3
84,63.6,29.1,6.9,0.1,0.3
85,63.6,29.1,6.9,0.1,0.3
86,63.6,29.1,6.9,0.1,0.3
87,63.6,29.1,6.9,0.1,0.3
88,63.6,29.1,6.9,0.1,0.3
89,63.6,29.1,6.9,0.1,0.3
90,63.6,29.1,6.9,0.1,0.3
91,63.6,29.1,6.9,0.1,0.3
92,33.9,40.0,25.1,0.5,0.5
93,33.9,40.0,25.1,0.5,0.5
94,33.9,40.0,25.1,0.5,0.5
95,33.9,40.0,25.1,0.5,0.5
96,33.9,40.0,25.1,0.5,0.5
97,33.9,40.0,25.1,0.5,0.5
98,33.9,40.0,25.1,0.5,0.5
99,33.9,40.0,25.1,0.5,0.5
100,54.6,37.1,7.2,0.0,1.0
101,54.6,37.1,7.2,0.0,1.0
102,54.6,37.1,7.2,0.0,1.0
103,54.6,37.1,7.2,0.0,1.0
104,54.6,37.1,7.2,0.0,1.0
105,54.6,37.1,7.2,0.0,1.0
106,68.0,26.9,5.0,0.1,0.1
107,68.0,26.9,5.0,0.1,0.1
108,68.0,26.9,5.0,0.1,0.1
109,68.0,26.9,5.0,0.1,0.1
110,68.0,26.9,5.0,0.1,0.1
111,68.0,26.9,5.0,0.1,0.1
112,68.0,26.9,5.0,0.1,0.1
113,68.0,26.9,5.0,0.1,0.1
114,68.0,26.9,5.0,0.1,0.1
115,68.0,26.9,5.0,0.1,0.1
116,68.0,26.9,5.0,0.1,0.1
117,68.0,26.9,5.0,0.1,0.1
118,69.2,24.5,5.7,0.2,0.4
119,69.2,24.5,5.7,0.2,0.4
120,69.2,24.5,5.7,0.2,0.4
121,69.2,24.5,5.7,0.2,0.4
122,69.2,24.5,5.7,0.2,0.4
