Region,Level of education: No education,Level of education: Primary,Level of education: Secondary,Level of education: Higher,Level of education: DK/missing
Region: West,33,35.3,22.6,5.8,3.4
Region: ..Dakar,25.3,37.8,25.3,8,3.5
Region: ..Thiès,47.3,30.5,17.5,1.6,3.1
Region: Central,64.9,22.7,10.1,0.9,1.2
Region: ..Diourbel,75.8,15.6,7.1,0.7,0.8
Region: ..Kaolack (2005),61.6,24.3,11.8,1,1.3
Region: ....Kaffrine,76,17,6.4,0.4,0.3
Region: ....Kaolack (2010),53.7,28.4,14.7,1.3,1.9
Region: ..Louga,72.4,18.2,7.5,0.6,1.2
Region: ..Fatick,43.2,37.7,15.4,1.7,2
Region: South,36.4,38.9,21.3,1.6,1.7
Region: ..Ziguinchor,21,41.7,32,2.5,2.9
Region: ..Kolda (2005),44.6,37.5,15.7,1.1,1.1
Region: ....Sédhiou,42.6,38.3,17.3,0.9,0.9
Region: ....Kolda (2010),46,37,14.5,1.3,1.2
Region: North and East,56.5,29.9,11.8,1,0.8
Region: ..Matam,68.7,21.6,8.4,0.6,0.7
Region: ..Saint Louis,47.4,33.8,16,1.6,1.3
Region: ..Tambacounda (2005),58.6,30.9,9.5,0.5,0.5
Region: ....Kédougou,32.3,51.2,14.5,0.6,1.3
Region: ....Tambacounda (2010),62.9,27.6,8.7,0.5,0.3
