arr,Male Level of education: No education,Male Level of education: Primary,Male Level of education: Secondary,Male Level of education: Higher,Male Level of education: DK/missing
0,25.3,37.8,25.3,8.0,3.5
1,25.3,37.8,25.3,8.0,3.5
2,25.3,37.8,25.3,8.0,3.5
3,25.3,37.8,25.3,8.0,3.5
4,25.3,37.8,25.3,8.0,3.5
5,25.3,37.8,25.3,8.0,3.5
6,25.3,37.8,25.3,8.0,3.5
7,25.3,37.8,25.3,8.0,3.5
8,25.3,37.8,25.3,8.0,3.5
9,25.3,37.8,25.3,8.0,3.5
10,25.3,37.8,25.3,8.0,3.5
11,25.3,37.8,25.3,8.0,3.5
12,25.3,37.8,25.3,8.0,3.5
13,25.3,37.8,25.3,8.0,3.5
14,25.3,37.8,25.3,8.0,3.5
15,25.3,37.8,25.3,8.0,3.5
16,25.3,37.8,25.3,8.0,3.5
17,25.3,37.8,25.3,8.0,3.5
18,25.3,37.8,25.3,8.0,3.5
19,25.3,37.8,25.3,8.0,3.5
20,25.3,37.8,25.3,8.0,3.5
21,25.3,37.8,25.3,8.0,3.5
22,75.8,15.6,7.1,0.7,0.8
23,75.8,15.6,7.1,0.7,0.8
24,75.8,15.6,7.1,0.7,0.8
25,75.8,15.6,7.1,0.7,0.8
26,75.8,15.6,7.1,0.7,0.8
27,75.8,15.6,7.1,0.7,0.8
28,75.8,15.6,7.1,0.7,0.8
29,75.8,15.6,7.1,0.7,0.8
30,43.2,37.7,15.4,1.7,2.0
31,43.2,37.7,15.4,1.7,2.0
32,43.2,37.7,15.4,1.7,2.0
33,43.2,37.7,15.4,1.7,2.0
34,43.2,37.7,15.4,1.7,2.0
35,43.2,37.7,15.4,1.7,2.0
36,43.2,37.7,15.4,1.7,2.0
37,43.2,37.7,15.4,1.7,2.0
38,43.2,37.7,15.4,1.7,2.0
39,72.4,18.2,7.5,0.6,1.2
40,72.4,18.2,7.5,0.6,1.2
41,72.4,18.2,7.5,0.6,1.2
42,72.4,18.2,7.5,0.6,1.2
43,72.4,18.2,7.5,0.6,1.2
44,72.4,18.2,7.5,0.6,1.2
45,72.4,18.2,7.5,0.6,1.2
46,72.4,18.2,7.5,0.6,1.2
47,72.4,18.2,7.5,0.6,1.2
48,72.4,18.2,7.5,0.6,1.2
49,72.4,18.2,7.5,0.6,1.2
50,53.7,28.4,14.7,1.3,1.9
51,53.7,28.4,14.7,1.3,1.9
52,53.7,28.4,14.7,1.3,1.9
53,53.7,28.4,14.7,1.3,1.9
54,53.7,28.4,14.7,1.3,1.9
55,53.7,28.4,14.7,1.3,1.9
56,53.7,28.4,14.7,1.3,1.9
57,53.7,28.4,14.7,1.3,1.9
58,76.0,17.0,6.4,0.4,0.3
59,76.0,17.0,6.4,0.4,0.3
60,76.0,17.0,6.4,0.4,0.3
61,76.0,17.0,6.4,0.4,0.3
62,76.0,17.0,6.4,0.4,0.3
63,76.0,17.0,6.4,0.4,0.3
64,76.0,17.0,6.4,0.4,0.3
65,76.0,17.0,6.4,0.4,0.3
66,76.0,17.0,6.4,0.4,0.3
67,47.4,33.8,16.0,1.6,1.3
68,47.4,33.8,16.0,1.6,1.3
69,47.4,33.8,16.0,1.6,1.3
70,47.4,33.8,16.0,1.6,1.3
71,47.4,33.8,16.0,1.6,1.3
72,47.4,33.8,16.0,1.6,1.3
73,47.4,33.8,16.0,1.6,1.3
74,46.0,37.0,14.5,1.3,1.2
75,46.0,37.0,14.5,1.3,1.2
76,46.0,37.0,14.5,1.3,1.2
77,46.0,37.0,14.5,1.3,1.2
78,46.0,37.0,14.5,1.3,1.2
79,46.0,37.0,14.5,1.3,1.2
80,46.0,37.0,14.5,1.3,1.2
81,46.0,37.0,14.5,1.3,1.2
82,46.0,37.0,14.5,1.3,1.2
83,42.6,38.3,17.3,0.9,0.9
84,42.6,38.3,17.3,0.9,0.9
85,42.6,38.3,17.3,0.9,0.9
86,42.6,38.3,17.3,0.9,0.9
87,42.6,38.3,17.3,0.9,0.9
88,42.6,38.3,17.3,0.9,0.9
89,42.6,38.3,17.3,0.9,0.9
90,42.6,38.3,17.3,0.9,0.9
91,42.6,38.3,17.3,0.9,0.9
92,21.0,41.7,32.0,2.5,2.9
93,21.0,41.7,32.0,2.5,2.9
94,21.0,41.7,32.0,2.5,2.9
95,21.0,41.7,32.0,2.5,2.9
96,21.0,41.7,32.0,2.5,2.9
97,21.0,41.7,32.0,2.5,2.9
98,21.0,41.7,32.0,2.5,2.9
99,21.0,41.7,32.0,2.5,2.9
100,32.3,51.2,14.5,0.6,1.3
101,32.3,51.2,14.5,0.6,1.3
102,32.3,51.2,14.5,0.6,1.3
103,32.3,51.2,14.5,0.6,1.3
104,32.3,51.2,14.5,0.6,1.3
105,32.3,51.2,14.5,0.6,1.3
106,62.9,27.6,8.7,0.5,0.3
107,62.9,27.6,8.7,0.5,0.3
108,62.9,27.6,8.7,0.5,0.3
109,62.9,27.6,8.7,0.5,0.3
110,62.9,27.6,8.7,0.5,0.3
111,62.9,27.6,8.7,0.5,0.3
112,62.9,27.6,8.7,0.5,0.3
113,62.9,27.6,8.7,0.5,0.3
114,62.9,27.6,8.7,0.5,0.3
115,62.9,27.6,8.7,0.5,0.3
116,62.9,27.6,8.7,0.5,0.3
117,62.9,27.6,8.7,0.5,0.3
118,68.7,21.6,8.4,0.6,0.7
119,68.7,21.6,8.4,0.6,0.7
120,68.7,21.6,8.4,0.6,0.7
121,68.7,21.6,8.4,0.6,0.7
122,68.7,21.6,8.4,0.6,0.7
