Region,Employment: No work in last 12 months,Employment: Worked last 12 months,Employment: Seasonally,Employment: Occasionally
Region: West,49.9,38.6,5.7,5.8
Region: ..Dakar,41.5,45.4,5.9,7.2
Region: ..Thiès,66.8,25.1,5.3,2.8
Region: Central,56.4,28.9,9,5.7
Region: ..Diourbel,48.1,34.5,7.9,9.5
Region: ..Kaolack (2005),64.5,25.9,6.3,3.4
Region: ....Kaffrine,71.2,16.7,7.8,4.3
Region: ....Kaolack (2010),61.2,30.4,5.6,2.9
Region: ..Louga,58.9,20.7,16.5,4
Region: ..Fatick,54.5,34.6,6.5,4.4
Region: South,43,30.9,23.3,2.9
Region: ..Ziguinchor,57.4,30.8,7.8,4
Region: ..Kolda (2005),35.3,31,31.5,2.3
Region: ....Sédhiou,32.3,36.3,28.4,3.1
Region: ....Kolda (2010),37.3,27.3,33.7,1.7
Region: North and East,63.1,22.9,9.3,4.7
Region: ..Matam,75.6,14.7,4,5.7
Region: ..Saint Louis,56,24.5,13.9,5.7
Region: ..Tambacounda (2005),63.1,26.7,7.5,2.7
Region: ....Kédougou,46.4,35.8,15.1,2.7
Region: ....Tambacounda (2010),65.8,25.2,6.3,2.7
