arr,Employment: No work in last 12 months,Employment: Worked last 12 months,Employment: Seasonally,Employment: Occasionally
0,41.5,45.4,5.9,7.2
1,41.5,45.4,5.9,7.2
2,41.5,45.4,5.9,7.2
3,41.5,45.4,5.9,7.2
4,41.5,45.4,5.9,7.2
5,41.5,45.4,5.9,7.2
6,41.5,45.4,5.9,7.2
7,41.5,45.4,5.9,7.2
8,41.5,45.4,5.9,7.2
9,41.5,45.4,5.9,7.2
10,41.5,45.4,5.9,7.2
11,41.5,45.4,5.9,7.2
12,41.5,45.4,5.9,7.2
13,41.5,45.4,5.9,7.2
14,41.5,45.4,5.9,7.2
15,41.5,45.4,5.9,7.2
16,41.5,45.4,5.9,7.2
17,41.5,45.4,5.9,7.2
18,41.5,45.4,5.9,7.2
19,41.5,45.4,5.9,7.2
20,41.5,45.4,5.9,7.2
21,41.5,45.4,5.9,7.2
22,48.1,34.5,7.9,9.5
23,48.1,34.5,7.9,9.5
24,48.1,34.5,7.9,9.5
25,48.1,34.5,7.9,9.5
26,48.1,34.5,7.9,9.5
27,48.1,34.5,7.9,9.5
28,48.1,34.5,7.9,9.5
29,48.1,34.5,7.9,9.5
30,54.5,34.6,6.5,4.4
31,54.5,34.6,6.5,4.4
32,54.5,34.6,6.5,4.4
33,54.5,34.6,6.5,4.4
34,54.5,34.6,6.5,4.4
35,54.5,34.6,6.5,4.4
36,54.5,34.6,6.5,4.4
37,54.5,34.6,6.5,4.4
38,54.5,34.6,6.5,4.4
39,58.9,20.7,16.5,4.0
40,58.9,20.7,16.5,4.0
41,58.9,20.7,16.5,4.0
42,58.9,20.7,16.5,4.0
43,58.9,20.7,16.5,4.0
44,58.9,20.7,16.5,4.0
45,58.9,20.7,16.5,4.0
46,58.9,20.7,16.5,4.0
47,58.9,20.7,16.5,4.0
48,58.9,20.7,16.5,4.0
49,58.9,20.7,16.5,4.0
50,61.2,30.4,5.6,2.9
51,61.2,30.4,5.6,2.9
52,61.2,30.4,5.6,2.9
53,61.2,30.4,5.6,2.9
54,61.2,30.4,5.6,2.9
55,61.2,30.4,5.6,2.9
56,61.2,30.4,5.6,2.9
57,61.2,30.4,5.6,2.9
58,71.2,16.7,7.8,4.3
59,71.2,16.7,7.8,4.3
60,71.2,16.7,7.8,4.3
61,71.2,16.7,7.8,4.3
62,71.2,16.7,7.8,4.3
63,71.2,16.7,7.8,4.3
64,71.2,16.7,7.8,4.3
65,71.2,16.7,7.8,4.3
66,71.2,16.7,7.8,4.3
67,56.0,24.5,13.9,5.7
68,56.0,24.5,13.9,5.7
69,56.0,24.5,13.9,5.7
70,56.0,24.5,13.9,5.7
71,56.0,24.5,13.9,5.7
72,56.0,24.5,13.9,5.7
73,56.0,24.5,13.9,5.7
74,37.3,27.3,33.7,1.7
75,37.3,27.3,33.7,1.7
76,37.3,27.3,33.7,1.7
77,37.3,27.3,33.7,1.7
78,37.3,27.3,33.7,1.7
79,37.3,27.3,33.7,1.7
80,37.3,27.3,33.7,1.7
81,37.3,27.3,33.7,1.7
82,37.3,27.3,33.7,1.7
83,32.3,36.3,28.4,3.1
84,32.3,36.3,28.4,3.1
85,32.3,36.3,28.4,3.1
86,32.3,36.3,28.4,3.1
87,32.3,36.3,28.4,3.1
88,32.3,36.3,28.4,3.1
89,32.3,36.3,28.4,3.1
90,32.3,36.3,28.4,3.1
91,32.3,36.3,28.4,3.1
92,57.4,30.8,7.8,4.0
93,57.4,30.8,7.8,4.0
94,57.4,30.8,7.8,4.0
95,57.4,30.8,7.8,4.0
96,57.4,30.8,7.8,4.0
97,57.4,30.8,7.8,4.0
98,57.4,30.8,7.8,4.0
99,57.4,30.8,7.8,4.0
100,46.4,35.8,15.1,2.7
101,46.4,35.8,15.1,2.7
102,46.4,35.8,15.1,2.7
103,46.4,35.8,15.1,2.7
104,46.4,35.8,15.1,2.7
105,46.4,35.8,15.1,2.7
106,65.8,25.2,6.3,2.7
107,65.8,25.2,6.3,2.7
108,65.8,25.2,6.3,2.7
109,65.8,25.2,6.3,2.7
110,65.8,25.2,6.3,2.7
111,65.8,25.2,6.3,2.7
112,65.8,25.2,6.3,2.7
113,65.8,25.2,6.3,2.7
114,65.8,25.2,6.3,2.7
115,65.8,25.2,6.3,2.7
116,65.8,25.2,6.3,2.7
117,65.8,25.2,6.3,2.7
118,75.6,14.7,4.0,5.7
119,75.6,14.7,4.0,5.7
120,75.6,14.7,4.0,5.7
121,75.6,14.7,4.0,5.7
122,75.6,14.7,4.0,5.7
