Region,Household usual members: 0,Household usual members: 1,Household usual members: 2,Household usual members: 3,Household usual members: 4,Household usual members: 5,Household usual members: 6,Household usual members: 7,Household usual members: 8,Household usual members: 9 +,Sex of head of household: Male,Sex of head of household: Female,,,
Region: West,0,5.1,6.4,6.4,8.7,8.5,10.2,8.4,7.6,38.8,69.9,30.1,,,
Region: ..Dakar,0,5.5,8,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2,,,
Region: ..Thiès,0,4.3,3.2,3.6,6.1,7.5,12.1,8.8,7.3,47.2,74.3,25.7,,,
Region: Central,0,1.9,1.8,3.7,4.6,8,9.9,8.8,8.9,52.5,75.9,24.1,,,
Region: ..Diourbel,0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9,,,
Region: ..Kaolack (2005),0,1.8,2,2.9,4.2,7.4,8.9,8.4,9.9,54.4,81.2,18.8,,,
Region: ....Kaffrine,0,1.6,3,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7,,,
Region: ....Kaolack (2010),0,2,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9,,,
Region: ..Louga,0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9,,,
Region: ..Fatick,0,2.3,1.6,3,5.1,6.5,9.4,11.1,10.1,50.8,76,24,,,
Region: South,0,3.9,3,3.8,6.6,7.8,9,7.5,9.6,48.7,82.5,17.5,,,
Region: ..Ziguinchor,0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1,,,
Region: ..Kolda (2005),0,2.2,1.7,2.6,6,7.3,8.1,7.4,9.5,55.1,87.7,12.3,,,
Region: ....Sédhiou,0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2,,,
Region: ....Kolda (2010),0,2.2,2,2.6,6.6,8.5,7.9,7.3,11,51.9,91.2,8.8,,,
Region: North and East,0,2,3.2,5.2,6.9,9,9.7,9.8,7.2,47.1,81.3,18.7,,,
Region: ..Matam,0,2.7,2.7,4.6,6.3,8.8,7.9,9.9,5.7,51.3,82.2,17.8,,,
Region: ..Saint Louis,0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7,,,
Region: ..Tambacounda (2005),0.1,2.4,4.6,5.3,7.3,8.5,9.4,8.7,6.8,46.7,87.9,12.1,,,
Region: ....Kédougou,0,2.7,5,5.2,9.7,11,13.1,10.9,8.2,34.3,86.8,13.2,,,
Region: ....Tambacounda (2010),0.2,2.4,4.5,5.4,6.8,8,8.6,8.2,6.5,49.5,88.2,11.8,,,
