arr,Household usual members: 0,Household usual members: 1,Household usual members: 2,Household usual members: 3,Household usual members: 4,Household usual members: 5,Household usual members: 6,Household usual members: 7,Household usual members: 8,Household usual members: 9 +,Sex of head of household: Male,Sex of head of household: Female
0,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
1,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
2,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
4,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
5,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
6,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
7,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
8,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
9,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
10,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
11,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
12,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
13,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
14,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
15,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
16,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
17,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
18,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
19,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
20,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
21,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
22,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
23,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
24,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
25,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
26,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
27,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
28,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
29,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
30,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
31,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
32,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
33,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
34,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
35,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
36,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
37,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
38,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
39,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
