Region,No schooling or primary school: Can read a whole sentence,No schooling or primary school: Can read part of a sentence,No schooling or primary school: Cannot read at all,No schooling or primary school: No card with required language,No schooling or primary school: Missing
Region: West,11.6,11.7,46.8,0,0.1
Region: ..Dakar,12.7,12,40.3,0.1,0.1
Region: ..Thiès,9.2,11,59.7,0,0.1
Region: Central,6.5,6.9,74.5,0.1,0
Region: ..Diourbel,4.9,5.6,79.4,0.1,0.1
Region: ..Kaolack (2005),7.3,6.8,73.2,0,0
Region: ....Kaffrine,2.5,6.8,83.4,0.1,0
Region: ....Kaolack (2010),9.7,6.8,68.2,0,0
Region: ..Louga,5.5,9.3,77.1,0.2,0
Region: ..Fatick,10.4,6.6,60.9,0.1,0
Region: South,7.5,7.7,60.7,0.1,0
Region: ..Ziguinchor,9.2,9.6,36.2,0.1,0
Region: ..Kolda (2005),6.5,6.7,73.7,0.1,0
Region: ....Sédhiou,6,6.7,73.9,0,0
Region: ....Kolda (2010),6.9,6.7,73.6,0.1,0
Region: North and East,6.3,7,73.4,0.2,0.1
Region: ..Matam,5.3,7.4,78.3,0,0.1
Region: ..Saint Louis,9.2,8,63.4,0.4,0.1
Region: ..Tambacounda (2005),3.4,5.6,82.3,0,0
Region: ....Kédougou,4.3,5.8,77.3,0,0
Region: ....Tambacounda (2010),3.3,5.5,83.1,0,0
