arr,Any type of mosquito net: Percentage with at least one,Any type of mosquito net: Percentage with more than one,Any type of mosquito net: Average number of nets per household,Ever treated mosquito net: Percentage with at least one,Ever treated mosquito net: Percentage with more than one,Ever treated mosquito net: Average number of ever treated nets per household,Insecticide treated mosquito nets (ITNs): Percentage with at least one,Insecticide treated mosquito nets (ITNs): Percentage with more than one,Insecticide treated mosquito nets (ITNs): Average number of ITNs per household,Number of households
0,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
1,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
2,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
3,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
4,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
5,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
6,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
7,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
8,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
9,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
10,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
11,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
12,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
13,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
14,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
15,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
16,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
17,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
18,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
19,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
20,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
21,41.4,21.4,0.8,39.5,19.0,0.8,36.5,17.5,0.7,2,539
22,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
23,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
24,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
25,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
26,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
27,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
28,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
29,57.0,45.3,1.6,55.8,43.6,1.5,55.7,43.5,1.5,854
30,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
31,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
32,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
33,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
34,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
35,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
36,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
37,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
38,92.6,78.0,3.0,91.5,77.2,3.0,90.3,75.4,2.9,507
39,80.1,58.5,2.3,74.9,53.0,2.1,65.6,43.3,1.7,474
40,80.1,58.5,2.3,74.9,53.0,2.1,65.6,43.3,1.7,474
41,80.1,58.5,2.3,74.9,53.0,2.1,65.6,43.3,1.7,474
42,80.1,58.5,2.3,74.9,53.0,2.1,65.6,43.3,1.7,474
43,80.1,58.5,2.3,74.9,53.0,2.1,65.6,43.3,1.7,474
44,80.1,58.5,2.3,74.9,53.0,2.1,65.6,43.3,1.7,474
