Region,Mass communication media: No mass media,Mass communication media: Reads newspaper,Mass communication media: Watches television,Mass communication media: Listens to radio weekly,Mass communication media: All three media,,,
Region: West,5.2,23.9,86.2,72,19.3,,,
Region: ..Dakar,4.2,31.6,91.7,69.1,25.4,,,
Region: ..Thiès,7.2,8.3,75.2,78,7,,,
Region: Central,25.8,5.5,50.1,61.5,4.3,,,
Region: ..Diourbel,24.6,3.8,60.7,58.4,3.3,,,
Region: ..Kaolack (2005),26.3,7.3,41.6,65.2,5.7,,,
Region: ....Kaffrine,38,6.4,27.5,57.3,4.9,,,
Region: ....Kaolack (2010),20.6,7.8,48.4,69.1,6.2,,,
Region: ..Louga,22.9,4.6,49.5,65.3,3.3,,,
Region: ..Fatick,32,7.3,44.6,54.2,4.6,,,
Region: South,29.5,4,42.5,59.6,3.1,,,
Region: ..Ziguinchor,21.2,5.8,64.9,60.9,4.7,,,
Region: ..Kolda (2005),33.9,3.1,30.4,58.9,2.3,,,
Region: ....Sédhiou,33.2,2.3,32.3,60.1,1.7,,,
Region: ....Kolda (2010),34.4,3.7,29.1,58,2.6,,,
Region: North and East,39.1,5,43.3,45.8,3.6,,,
Region: ..Matam,33.4,2.5,44.3,53.1,1.8,,,
Region: ..Saint Louis,28.5,9.1,57.6,50,6.6,,,
Region: ..Tambacounda (2005),56.2,1.8,25,35.3,1.2,,,
Region: ....Kédougou,39.3,2.6,28.5,49.5,1.6,,,
Region: ....Tambacounda (2010),58.9,1.7,24.4,33.1,1.1,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
