Region,Respondent's occupation: Agricultural - own land,Respondent's occupation: Agricultural - other,Respondent's occupation: Professional technical managerial,Respondent's occupation: Sales services,Respondent's occupation: Skilled manual,Respondent's occupation: Unskilled manual,Respondent's occupation: Household & domestic,Respondent's occupation: Other
Region: West,,1,8.9,69.7,1.2,2.1,15.7,1.3
Region: ..Dakar,,0.6,9.8,68.2,1.4,1.8,16.8,1.4
Region: ..Thiès,,2.3,6.1,74.7,0.8,3.2,12,0.9
Region: Central,,19.4,3.3,65.8,1.8,2.2,6.9,0.5
Region: ..Diourbel,,12.9,3,69.8,3.3,3.6,7.1,0.3
Region: ..Kaolack (2005),,19.3,4.3,67.5,0.4,1.4,6.1,1
Region: ....Kaffrine,,32.4,3.8,53.9,1.2,0.3,4.7,3.8
Region: ....Kaolack (2010),,14.7,4.5,72.3,0.1,1.8,6.5,0
Region: ..Louga,,34.8,1.9,55.8,1.1,0.9,5.2,0.3
Region: ..Fatick,,16,5.3,65.6,0.5,1.2,11,0.5
Region: South,,55,3,36.5,0.8,0.8,3.7,0.3
Region: ..Ziguinchor,,16.3,6,64.1,1.2,2.2,10,0.2
Region: ..Kolda (2005),,69.4,1.9,26.3,0.6,0.3,1.3,0.3
Region: ....S_dhiou,,71.9,1.6,23.7,0.6,0.6,1.6,0.1
Region: ....Kolda (2010),,67.3,2.1,28.3,0.6,0,1.2,0.5
Region: North and East,,22.8,5,60.3,1.5,1.8,8,0.7
Region: ..Matam,,12.4,4.1,74.6,1.1,0.6,7.1,0
Region: ..Saint Louis,,29.6,6,52.6,2.2,2,6.5,1.1
Region: ..Tambacounda (2005),,17.6,3.8,64.8,0.6,2.2,10.7,0.2
Region: ....K_dougou,,30.3,6.3,47.2,3.2,3.8,8.6,0.5
Region: ....Tambacounda (2010),,14.9,3.3,68.5,0,1.9,11.2,0.2
