arr,Respondent's occupation: Agricultural - own land,Respondent's occupation: Agricultural - other,Respondent's occupation: Professional technical managerial,Respondent's occupation: Sales services,Respondent's occupation: Skilled manual,Respondent's occupation: Unskilled manual,Respondent's occupation: Household & domestic,Respondent's occupation: Other
0,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
1,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
2,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
3,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
4,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
5,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
6,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
7,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
8,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
9,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
10,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
11,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
12,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
13,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
14,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
15,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
16,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
17,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
18,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
19,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
20,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
21,nan,0.6,9.8,68.2,1.4,1.8,16.8,1.4
22,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
23,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
24,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
25,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
26,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
27,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
28,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
29,nan,12.9,3.0,69.8,3.3,3.6,7.1,0.3
30,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
31,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
32,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
33,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
34,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
35,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
36,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
37,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
38,nan,16.0,5.3,65.6,0.5,1.2,11.0,0.5
39,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
40,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
41,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
42,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
43,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
44,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
45,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
46,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
47,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
48,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
49,nan,34.8,1.9,55.8,1.1,0.9,5.2,0.3
50,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
51,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
52,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
53,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
54,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
55,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
56,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
57,nan,14.7,4.5,72.3,0.1,1.8,6.5,0.0
58,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
59,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
60,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
61,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
62,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
63,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
64,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
65,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
66,nan,32.4,3.8,53.9,1.2,0.3,4.7,3.8
67,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
68,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
69,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
70,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
71,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
72,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
73,nan,29.6,6.0,52.6,2.2,2.0,6.5,1.1
74,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
75,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
76,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
77,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
78,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
79,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
80,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
81,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
82,nan,67.3,2.1,28.3,0.6,0.0,1.2,0.5
83,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
84,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
85,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
86,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
87,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
88,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
89,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
90,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
91,nan,71.9,1.6,23.7,0.6,0.6,1.6,0.1
92,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
93,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
94,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
95,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
96,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
97,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
98,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
99,nan,16.3,6.0,64.1,1.2,2.2,10.0,0.2
100,nan,30.3,6.3,47.2,3.2,3.8,8.6,0.5
101,nan,30.3,6.3,47.2,3.2,3.8,8.6,0.5
102,nan,30.3,6.3,47.2,3.2,3.8,8.6,0.5
103,nan,30.3,6.3,47.2,3.2,3.8,8.6,0.5
104,nan,30.3,6.3,47.2,3.2,3.8,8.6,0.5
105,nan,30.3,6.3,47.2,3.2,3.8,8.6,0.5
106,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
107,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
108,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
109,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
110,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
111,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
112,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
113,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
114,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
115,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
116,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
117,nan,14.9,3.3,68.5,0.0,1.9,11.2,0.2
118,nan,12.4,4.1,74.6,1.1,0.6,7.1,0.0
119,nan,12.4,4.1,74.6,1.1,0.6,7.1,0.0
120,nan,12.4,4.1,74.6,1.1,0.6,7.1,0.0
121,nan,12.4,4.1,74.6,1.1,0.6,7.1,0.0
122,nan,12.4,4.1,74.6,1.1,0.6,7.1,0.0
