Region,Residence and survival status of parents: Living with both parents,Residence and survival status of parents: Living with mother/father alive,Residence and survival status of parents: Living with mother/father dead,Residence and survival status of parents: Living with father/ mother alive,Residence and survival status of parents: Living with father/ mother dead,Residence and survival status of parents: Living with neither/ both alive,Residence and survival status of parents: Living with neither/ father alive,Residence and survival status of parents: Living with neither/ mother alive,Residence and survival status of parents: Living with neither/ both dead,Residence and survival status of parents: Missing on whether father/mother alive
Region: West,57.3,24.4,3,3.5,0.5,9.1,1,0.8,0.3,0.1
Region: ..Dakar,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
Region: ..Thiès,56.1,26.1,1.9,3.1,0.4,10.7,0.7,0.7,0.3,0
Region: Central,55.5,25,2.4,3,0.6,11.5,0.8,0.9,0.2,0
Region: ..Diourbel,48,33.4,1.8,2.5,0.7,11.8,0.7,1,0.1,0
Region: ..Kaolack (2005),61.9,18.6,2.7,3.1,0.5,11.4,0.6,1,0.2,0.1
Region: ....Kaffrine,66.3,14.5,2.1,5.2,0.6,9.9,0.5,0.6,0.3,0
Region: ....Kaolack (2010),59.5,20.8,3,2,0.4,12.3,0.6,1.2,0.2,0.1
Region: ..Louga,59.6,24.1,2.3,2.4,0.5,9.3,0.9,0.6,0.2,0
Region: ..Fatick,51.5,23.8,2.8,4.5,1,13.6,1.3,1.2,0.2,0
Region: South,57.7,15.7,3.4,4.9,1.3,13.2,1,2.3,0.5,0
Region: ..Ziguinchor,47.7,20.2,2.8,5.3,1.1,19,1.2,2.1,0.6,0.2
Region: ..Kolda (2005),61.4,14.1,3.6,4.7,1.4,11,0.9,2.4,0.5,0
Region: ....S_dhiou,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3,0.5,0
Region: ....Kolda (2010),67,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0
Region: North and East,60.4,20.4,2.6,3.6,0.8,9.9,0.9,1,0.3,0.1
Region: ..Matam,56.8,24.4,4.3,2.9,0.2,8.9,0.7,1.5,0.2,0
Region: ..Saint Louis,55.9,24.7,1.8,3.1,0.8,11.1,1.2,0.9,0.3,0.2
Region: ..Tambacounda (2005),67.2,13.4,2.4,4.6,1.1,9.5,0.7,0.9,0.2,0
Region: ....K_dougou,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0
Region: ....Tambacounda (2010),66.5,13.6,2.1,5,1,9.8,0.8,0.9,0.2,0
