arr,Residence and survival status of parents: Living with both parents,Residence and survival status of parents: Living with mother/father alive,Residence and survival status of parents: Living with mother/father dead,Residence and survival status of parents: Living with father/ mother alive,Residence and survival status of parents: Living with father/ mother dead,Residence and survival status of parents: Living with neither/ both alive,Residence and survival status of parents: Living with neither/ father alive,Residence and survival status of parents: Living with neither/ mother alive,Residence and survival status of parents: Living with neither/ both dead,Residence and survival status of parents: Missing on whether father/mother alive
0,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
1,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
2,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
3,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
4,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
5,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
6,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
7,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
8,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
9,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
10,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
11,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
12,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
13,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
14,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
15,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
16,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
17,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
18,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
19,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
20,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
21,58.2,23.1,3.8,3.7,0.6,8.1,1.1,0.9,0.3,0.2
22,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
23,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
24,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
25,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
26,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
27,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
28,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
29,48.0,33.4,1.8,2.5,0.7,11.8,0.7,1.0,0.1,0.0
30,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
31,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
32,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
33,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
34,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
35,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
36,51.5,23.8,2.8,4.5,1.0,13.6,1.3,1.2,0.2,0.0
