ID,REGION,DEPT,ARR,Men 2008,Women 2008,Total 2008,Men 2015,Women 2015,Total 2015,Growth Men,Growth Women
0,DAKAR,DAKAR,PARCELLES ASSAINIES,493477,496542,990019,582558,570050,1152608,1.180517025,1.148039844
1,DAKAR,DAKAR,ALMADIES,493477,496542,990019,582558,570050,1152608,1.180517025,1.148039844
2,DAKAR,DAKAR,GRAND DAKAR,493477,496542,990019,582558,570050,1152608,1.180517025,1.148039844
3,DAKAR,DAKAR,DAKAR PLATEAU,493477,496542,990019,582558,570050,1152608,1.180517025,1.148039844
4,DAKAR,GUEDIAWAYE,GUEDIAWAYE,148139,149487,297626,174880,176114,350994,1.180512897,1.178122512
5,DAKAR,PIKINE,PIKINE DAGOUDANE,443379,439049,882428,523416,517254,1040670,1.180515992,1.178123626
6,DAKAR,PIKINE,THIAROYE,443379,439049,882428,523416,517254,1040670,1.180515992,1.178123626
7,DAKAR,PIKINE,NIAYES,443379,439049,882428,523416,517254,1040670,1.180515992,1.178123626
8,DAKAR,RUFISQUE,RUFISQUE,157469,154753,312222,185895,182318,368213,1.18051807,1.178122557
9,DAKAR,RUFISQUE,BAMBILOR,157469,154753,312222,185895,182318,368213,1.18051807,1.178122557
10,THIES,THIES,KEUR MOUSSA,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772
11,THIES,MBOUR,SINDIA,284200,275430,559630,342277,330776,673053,1.163884588,1.200943979
12,THIES,THIES,NOTTO,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772
13,THIES,THIES,THIENABA,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772
14,THIES,TIVAOUANE,PAMBAL,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553
15,THIES,TIVAOUANE,MEOUANE,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553
16,THIES,TIVAOUANE,MERINA DAKHAR,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553
17,THIES,TIVAOUANE,NIAKHENE,219595,219192,438787,264470,263237,527707,1.198738587,1.200942553
18,THIES,THIES,THIES SUD,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772
19,THIES,THIES,THIES NORD,281081,290652,571733,338520,349057,687577,1.241837762,1.200944772
20,THIES,MBOUR,FISSEL,284200,275430,559630,342277,330776,673053,1.163884588,1.200943979
21,THIES,MBOUR,SESSENE,284200,275430,559630,342277,330776,673053,1.163884588,1.200943979
20,DIOURBEL,MBACKE,TAIF,334974,388931,723905,414418,472587,887005,1.410816959,1.215092137
21,DIOURBEL,MBACKE,KAEL,334974,388931,723905,414418,472587,887005,1.410816959,1.215092137
22,DIOURBEL,MBACKE,NDAME,334974,388931,723905,414418,472587,887005,1.410816959,1.215092137
23,DIOURBEL,DIOURBEL,NDOULO,123973,130727,254700,153375,158846,312221,1.281295121,1.215097111
24,DIOURBEL,DIOURBEL,NDINDY,123973,130727,254700,153375,158846,312221,1.281295121,1.215097111
25,DIOURBEL,BAMBEY,NGOYE,145863,150025,295888,180457,182294,362751,1.249761763,1.215090818
26,DIOURBEL,BAMBEY,LAMBAYE,145863,150025,295888,180457,182294,362751,1.249761763,1.215090818
27,DIOURBEL,BAMBEY,BABA GARAGE,145863,150025,295888,180457,182294,362751,1.249761763,1.215090818
28,FATICK,GOSSAS,COLOBANE,50171,50209,100380,63282,62918,126200,1.254071077,1.25312195
29,FATICK,FATICK,NIAKHAR,159082,160293,319375,200652,200875,401527,1.262713569,1.253173875
30,FATICK,FATICK,TATTAGUINE,159082,160293,319375,200652,200875,401527,1.262713569,1.253173875
31,FATICK,GOSSAS,OUADIOUR,50171,50209,100380,63282,62918,126200,1.254071077,1.25312195
32,FATICK,FATICK,NDIOB,159082,160293,319375,200652,200875,401527,1.262713569,1.253173875
33,FATICK,FATICK,FIMELA,159082,160293,319375,200652,200875,401527,1.262713569,1.253173875
34,FATICK,FOUNDIOUGNE,NIODIOR,130787,134504,265291,164968,168553,333521,1.288759586,1.253144888
35,FATICK,FOUNDIOUGNE,TOUBACOUTA,130787,134504,265291,164968,168553,333521,1.288759586,1.253144888
36,FATICK,FOUNDIOUGNE,DJILOR,130787,134504,265291,164968,168553,333521,1.288759586,1.253144888
37,LOUGA,LOUGA,SAKAL,163200,173781,336981,198616,209995,408611,1.286734069,1.208388719
38,LOUGA,LOUGA,MEUR MOMAR SARR,163200,173781,336981,198616,209995,408611,1.286734069,1.208388719
39,LOUGA,LOUGA,MBEDIENE,163200,173781,336981,198616,209995,408611,1.286734069,1.208388719
40,LOUGA,LOUGA,COKI,163200,173781,336981,198616,209995,408611,1.286734069,1.208388719
41,LOUGA,KEBEMER,NDANDE,121359,126348,247707,147582,152562,300144,1.257113193,1.207474594
42,LOUGA,KEBEMER,SAGATTA GUETH,121359,126348,247707,147582,152562,300144,1.257113193,1.207474594
43,LOUGA,KEBEMER,DAROU MOUSTY,121359,126348,247707,147582,152562,300144,1.257113193,1.207474594
44,LOUGA,LINGUERE,SAGATTA DJOLOF,111587,112990,224577,135803,136536,272339,1.223583392,1.208390123
45,LOUGA,LINGUERE,YANG YANG,111587,112990,224577,135803,136536,272339,1.223583392,1.208390123
46,LOUGA,LINGUERE,DODJI,111587,112990,224577,135803,136536,272339,1.223583392,1.208390123
47,LOUGA,LINGUERE,BARKEDJI,111587,112990,224577,135803,136536,272339,1.223583392,1.208390123
48,KAOLACK,GUINGUINEO,MBADAKHOUNE,48582,49717,98299,59160,60025,119185,1.235539912,1.207333508
49,KAOLACK,GUINGUINEO,NGUELOU,48582,49717,98299,59160,60025,119185,1.235539912,1.207333508
50,KAOLACK,KAOLACK,NGOTHIE,182533,194874,377407,222279,235281,457560,1.288977883,1.207349364
51,KAOLACK,KAOLACK,KOUMBAL,182533,194874,377407,222279,235281,457560,1.288977883,1.207349364
52,KAOLACK,KAOLACK,NDIEDIENG,182533,194874,377407,222279,235281,457560,1.288977883,1.207349364
53,KAOLACK,NIORO,PAOS KOTO,134384,140764,275148,163645,169950,333595,1.264659483,1.207339945
54,KAOLACK,NIORO,WACK NGOUNA,134384,140764,275148,163645,169950,333595,1.264659483,1.207339945
55,KAOLACK,NIORO,MEDINA SABAKH,134384,140764,275148,163645,169950,333595,1.264659483,1.207339945
56,KAFFRINE,KAFFRINE,GNIBY,91737,95491,187228,111714,115290,227004,1.256744825,1.207338912
57,KAFFRINE,MALEM HODDAR,DAROU MINAME II,45687,41291,86978,55635,49852,105487,1.091163788,1.207333317
58,KAFFRINE,KAFFRINE,KATAKEL,91737,95491,187228,111714,115290,227004,1.256744825,1.207338912
59,KAFFRINE,BIRKELANE,KEUR MBOUCKI,45687,41291,86978,55635,49852,105487,1.091163788,1.207333317
60,KAFFRINE,MALEM HODDAR,SAGNA,48284,52232,100516,57251,63062,120313,1.306064121,1.207344157
61,KAFFRINE,KOUNGHEUL,IDA MOURIDE,45687,41291,86978,55635,49852,105487,1.091163788,1.207333317
62,KAFFRINE,KOUNGHEUL,MISSIRAH WADENE,74119,77603,151722,90257,93694,183951,1.264102322,1.207350231
63,KAFFRINE,KOUNGHEUL,LOUR ESCALE,74119,77603,151722,90257,93694,183951,1.264102322,1.207350231
64,KAFFRINE,BIRKELANE,MABO,74119,77603,151722,90257,93694,183951,1.264102322,1.207350231
65,SAINT-LOUIS,DAGANA,MBANE,48284,52232,100516,57251,63062,120313,1.306064121,1.207344157
66,SAINT-LOUIS,PODOR,SALDE,113358,110890,224248,138734,134638,273372,1.187723848,1.214158175
67,SAINT-LOUIS,DAGANA,NDIAYE MBERESS,173097,189748,362845,211846,230389,442235,1.330982051,1.214184076
68,SAINT-LOUIS,PODOR,GAMADJI SARRE,113358,110890,224248,138734,134638,273372,1.187723848,1.214158175
69,SAINT-LOUIS,PODOR,CAS CAS,173097,189748,362845,211846,230389,442235,1.330982051,1.214184076
70,SAINT-LOUIS,SAINT-LOUIS,RAO,173097,189748,362845,211846,230389,442235,1.330982051,1.214184076
71,SAINT-LOUIS,PODOR,THILE BOUBACAR,125084,128663,253747,128663,156219,284882,1.248912731,1.214171906
72,KOLDA,MEDINA YORO FOULAH,FAFACOUROU,173097,189748,362845,211846,230389,442235,1.330982051,1.214184076
73,KOLDA,KOLDA,MAMPATIM,52680,53404,106084,68516,69756,138272,1.324145786,1.306194293
74,KOLDA,MEDINA YORO FOULAH,NDORNA,107158,107399,214557,127081,128104,140812,1.195468374,1.19278578
75,KOLDA,VELINGARA,BONCONTO,52680,53404,106084,68516,69756,138272,1.324145786,1.306194293
76,KOLDA,MEDINA YORO FOULAH,NIAMING,123904,125170,249074,147779,149301,297080,1.204973205,1.192785811
77,KOLDA,KOLDA,DIOULACOLON,52680,53404,106084,68516,69756,138272,1.324145786,1.306194293
78,KOLDA,VELINGARA,SARE COLY SALE,107158,107399,214557,127081,128104,140812,1.195468374,1.19278578
79,KOLDA,VELINGARA,PAKOUR,123904,125170,249074,147779,149301,297080,1.204973205,1.192785811
80,KOLDA,KOLDA,SARE BIDJI,123904,125170,249074,147779,149301,297080,1.204973205,1.192785811
81,SEDHIOU,GOUDOMP,DJIBANAR,107158,107399,214557,12708,128104,140812,1.195468374,1.19278578
82,SEDHIOU,SEDHIOU,DJIREDJI,70777,73161,143938,85921,88723,174644,1.253556946,1.212708957
83,SEDHIOU,BOUNKILING,DIAROUME,78075,79706,157781,94781,96660,191441,1.238040346,1.212706697
84,SEDHIOU,BOUNKILING,BONA,52455,52611,105066,63679,63801,127480,1.216299685,1.212693163
85,SEDHIOU,GOUDOMP,KARANTABA,52455,52611,105066,63679,63801,127480,1.216299685,1.212693163
86,SEDHIOU,SEDHIOU,DIENDE,70777,73161,143938,85921,88723,174644,1.253556946,1.212708957
87,SEDHIOU,BOUNKILING,BOGHAL,78075,79706,157781,94781,96660,191441,1.238040346,1.212706697
88,SEDHIOU,GOUDOMP,SIMBANDI BRASSOU,52455,52611,105066,63679,63801,127480,1.216299685,1.212693163
89,SEDHIOU,SEDHIOU,DJIBABOUYA,70777,73161,143938,85921,88723,174644,1.253556946,1.212708957
90,ZIGUINCHOR,OUSSOUYE,CABROUSSE,78075,79706,157781,94781,96660,191441,1.238040346,1.212706697
91,ZIGUINCHOR,OUSSOUYE,LOUDIA OUOLOF,31658,30086,61744,37782,35740,73522,1.128940552,1.18792794
92,ZIGUINCHOR,BIGNONA,SINDIAN,151154,152078,303232,180391,180659,361050,1.195198275,1.187936454
93,ZIGUINCHOR,BIGNONA,TENGHORY,151154,152078,303232,180391,180659,361050,1.195198275,1.187936454
94,ZIGUINCHOR,BIGNONA,KATABA I,151154,152078,303232,180391,180659,361050,1.195198275,1.187936454
95,ZIGUINCHOR,BIGNONA,TENDOUCK,151154,152078,303232,180391,180659,361050,1.195198275,1.187936454
96,ZIGUINCHOR,ZIGUINCHOR,NYASSIA,155541,158769,314310,185625,188607,374232,1.212587035,1.187933413
97,ZIGUINCHOR,ZIGUINCHOR,NIAGUIS,155541,158769,314310,185625,188607,374232,1.212587035,1.187933413
98,KEDOUGOU,KEDOUGOU,BANDAFASSI,21790,34297,56087,39904,41743,81647,1.915695273,1.217103537
99,KEDOUGOU,SARAYA,BEMBOU,17584,18335,35919,21398,22316,43714,1.26910828,1.217125716
100,KEDOUGOU,SALEMATA,DAKATELY,9215,10112,19327,11215,12308,23523,1.335648399,1.217167722
101,KEDOUGOU,SALEMATA,DAR SALAM,9215,10112,19327,11215,12308,23523,1.335648399,1.217167722
102,KEDOUGOU,KEDOUGOU,FONGOLIMBI,21790,34297,56087,39904,41743,81647,1.915695273,1.217103537
103,KEDOUGOU,SARAYA,SABODALA,17584,18335,35919,21398,22316,43714,1.26910828,1.217125716
104,TAMBACOUNDA,TAMBACOUNDA,KOUSSANAR,126678,124134,250812,154158,151086,305244,1.192677497,1.217120209
105,TAMBACOUNDA,TAMBACOUNDA,MISSIRAH,126678,124134,250812,154158,151086,305244,1.192677497,1.217120209
106,TAMBACOUNDA,TAMBACOUNDA,MAKACOULIBANTANG,126678,124134,250812,154158,151086,305244,1.192677497,1.217120209
107,TAMBACOUNDA,KOUPENTOUM,KOUTHIABA OUOLOF,68512,67538,136050,83375,82202,165577,1.19981901,1.217122213
108,TAMBACOUNDA,KOUPENTOUM,BAMBA NDIAYENE,68512,67538,136050,83375,82202,165577,1.19981901,1.217122213
109,TAMBACOUNDA,GOUDIRY,KOULOR,43645,45563,89208,53113,55456,108569,1.270615191,1.217127933
110,TAMBACOUNDA,GOUDIRY,DIANKE MAKHA,43645,45563,89208,53113,55456,108569,1.270615191,1.217127933
111,TAMBACOUNDA,GOUDIRY,BALA,43645,45563,89208,53113,55456,108569,1.270615191,1.217127933
112,TAMBACOUNDA,GOUDIRY,BOYNGUEL BAMBA,43645,45563,89208,53113,55456,108569,1.270615191,1.217127933
113,TAMBACOUNDA,BAKEL,MOUDERY,67539,69456,136995,82191,84537,166728,1.251676809,1.21713027
114,TAMBACOUNDA,BAKEL,KENIEBA,67539,69456,136995,82191,84537,166728,1.251676809,1.21713027
115,TAMBACOUNDA,BAKEL,BELE,67539,69456,136995,82191,84537,166728,1.251676809,1.21713027
116,MATAM,MATAM,OGO,123879,136497,260376,151691,164948,316639,1.331525117,1.208436815
117,MATAM,MATAM,AGNAM CIVOL,123879,136497,260376,151691,164948,316639,1.331525117,1.208436815
118,MATAM,RANEROU,VELINGARA,26508,26290,52798,32460,31770,64230,1.198506111,1.208444275
