Region,Household possessions: Radio,Household possessions: Television,Household possessions: Telephone,Household possessions: Refrigerator,Household possessions: Bicycle,Household possessions: Motorcycle,Household possessions: Private car,Household possessions: None of the previous
Region: West,77.5,77.2,20.5,37.4,6.5,7,2.9,7.8
Region: ..Dakar,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
Region: ..Thiès,81.3,62,9.5,20.5,4.1,4.5,3.3,10.1
Region: Central,74.5,36.6,6.6,12.2,6.9,6.6,3.2,20.4
Region: ..Diourbel,79,48.2,8.7,16.8,5.2,5.2,5.1,16.4
Region: ..Kaolack (2005),73.4,28.8,4.9,9.7,8.5,9.2,2.1,20.8
Region: ....Kaffrine,63.4,16.3,2.3,5.4,7,6.8,1.5,31.6
Region: ....Kaolack (2010),79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
Region: ..Louga,79.5,38,8.1,11.8,5.1,4.4,3.1,16
Region: ..Fatick,62.2,28.3,4.1,8.6,8.8,7,1.5,32.3
Region: South,68.9,31,7.2,10.5,61.9,15.3,1.3,14
Region: ..Ziguinchor,65.6,46.3,9.8,17.4,49,18.7,1.6,18.9
Region: ..Kolda (2005),70.9,21.7,5.7,6.3,69.7,13.2,1.1,11
Region: ....S_dhiou,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
Region: ....Kolda (2010),72,22.1,6.6,7.2,74.3,15.6,1.2,8.7
Region: North and East,65.9,35.4,8,11.5,28.2,8.5,2.3,20.3
Region: ..Matam,63.5,31.1,9.9,13.3,9.3,3.5,1.6,29.4
Region: ..Saint Louis,66.7,50.7,9,14.9,12.4,5.6,3.9,18.5
Region: ..Tambacounda (2005),66.3,19.3,5.6,6.2,59.4,15.1,0.9,16.7
Region: ....K_dougou,64.7,17.1,5.6,5.8,69,18.6,0.5,14.4
Region: ....Tambacounda (2010),66.7,19.8,5.6,6.3,57.2,14.3,1,17.2
