arr,Household possessions: Radio,Household possessions: Television,Household possessions: Telephone,Household possessions: Refrigerator,Household possessions: Bicycle,Household possessions: Motorcycle,Household possessions: Private car,Household possessions: None of the previous
0,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
2,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
3,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
4,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
5,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
6,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
7,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
8,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
9,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
10,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
11,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
12,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
13,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
14,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
15,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
16,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
17,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
18,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
19,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
20,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
21,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
22,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
23,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
24,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
25,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
26,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
27,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
28,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
29,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
30,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
31,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
32,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
33,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
34,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
35,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
36,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
37,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
38,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
39,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
40,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
41,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
42,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
43,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
44,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
45,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
46,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
47,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
48,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
49,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
50,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
51,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
52,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
53,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
