Region,Age group: 6-10,Age group: 11-15,Age group: 6-15,Age group: 16-20,Age group: 21-24
Region: West,65.7,61.3,63.5,29.1,10
Region: ..Dakar,74.9,63.9,68.9,31.1,12
Region: ..Thiès,54.2,56.5,55.2,25.6,5.7
Region: Central,37.2,37.7,37.5,13.4,4.1
Region: ..Diourbel,25.8,25.7,25.8,7.9,1.4
Region: ..Kaolack (2005),38.4,37.6,38,12.9,3.7
Region: ....Kaffrine,38.4,37.6,38,12.9,3.7
Region: ....Kaolack (2010),38.4,37.6,38,12.9,3.7
Region: ..Louga,38.9,38.2,38.6,12.2,1.6
Region: ..Fatick,53.7,59.7,56.5,31.6,12.5
Region: South,62.2,65.1,63.5,30.5,6.9
Region: ..Ziguinchor,82.3,89.9,86,58.6,18.2
Region: ..Kolda (2005),54,52.1,53.2,13.5,1.7
Region: ....S_dhiou,54,52.1,53.2,13.5,1.7
Region: ....Kolda (2010),54,52.1,53.2,13.5,1.7
Region: North and East,47.2,47.6,47.4,14.1,3.1
Region: ..Matam,45.9,45.5,45.7,9,1.5
Region: ..Saint Louis,52.5,54,53.1,19.8,4.8
Region: ..Tambacounda (2005),42.6,42.5,42.6,11.1,2.2
Region: ....K_dougou,42.6,42.5,42.6,11.1,2.2
Region: ....Tambacounda (2010),42.6,42.5,42.6,11.1,2.2
