arr,Female Age group in school: 6-10,Female Age group in school: 11-15,Female Age group in school: 6-15,Female Age group in school: 16-20,Female Age group in school: 21-24
0,74.9,63.9,68.9,31.1,12.0
1,74.9,63.9,68.9,31.1,12.0
2,74.9,63.9,68.9,31.1,12.0
3,74.9,63.9,68.9,31.1,12.0
4,74.9,63.9,68.9,31.1,12.0
5,74.9,63.9,68.9,31.1,12.0
6,74.9,63.9,68.9,31.1,12.0
7,74.9,63.9,68.9,31.1,12.0
8,74.9,63.9,68.9,31.1,12.0
9,74.9,63.9,68.9,31.1,12.0
10,74.9,63.9,68.9,31.1,12.0
11,74.9,63.9,68.9,31.1,12.0
12,74.9,63.9,68.9,31.1,12.0
13,74.9,63.9,68.9,31.1,12.0
14,74.9,63.9,68.9,31.1,12.0
15,74.9,63.9,68.9,31.1,12.0
16,74.9,63.9,68.9,31.1,12.0
17,74.9,63.9,68.9,31.1,12.0
18,74.9,63.9,68.9,31.1,12.0
19,74.9,63.9,68.9,31.1,12.0
20,74.9,63.9,68.9,31.1,12.0
21,74.9,63.9,68.9,31.1,12.0
22,25.8,25.7,25.8,7.9,1.4
23,25.8,25.7,25.8,7.9,1.4
24,25.8,25.7,25.8,7.9,1.4
25,25.8,25.7,25.8,7.9,1.4
26,25.8,25.7,25.8,7.9,1.4
27,25.8,25.7,25.8,7.9,1.4
28,25.8,25.7,25.8,7.9,1.4
29,25.8,25.7,25.8,7.9,1.4
30,53.7,59.7,56.5,31.6,12.5
31,53.7,59.7,56.5,31.6,12.5
32,53.7,59.7,56.5,31.6,12.5
33,53.7,59.7,56.5,31.6,12.5
34,53.7,59.7,56.5,31.6,12.5
35,53.7,59.7,56.5,31.6,12.5
36,53.7,59.7,56.5,31.6,12.5
37,53.7,59.7,56.5,31.6,12.5
38,53.7,59.7,56.5,31.6,12.5
39,38.9,38.2,38.6,12.2,1.6
40,38.9,38.2,38.6,12.2,1.6
41,38.9,38.2,38.6,12.2,1.6
42,38.9,38.2,38.6,12.2,1.6
43,38.9,38.2,38.6,12.2,1.6
44,38.9,38.2,38.6,12.2,1.6
45,38.9,38.2,38.6,12.2,1.6
46,38.9,38.2,38.6,12.2,1.6
47,38.9,38.2,38.6,12.2,1.6
48,38.9,38.2,38.6,12.2,1.6
49,38.9,38.2,38.6,12.2,1.6
50,38.4,37.6,38.0,12.9,3.7
51,38.4,37.6,38.0,12.9,3.7
52,38.4,37.6,38.0,12.9,3.7
53,38.4,37.6,38.0,12.9,3.7
54,38.4,37.6,38.0,12.9,3.7
55,38.4,37.6,38.0,12.9,3.7
56,38.4,37.6,38.0,12.9,3.7
57,38.4,37.6,38.0,12.9,3.7
58,38.4,37.6,38.0,12.9,3.7
59,38.4,37.6,38.0,12.9,3.7
60,38.4,37.6,38.0,12.9,3.7
61,38.4,37.6,38.0,12.9,3.7
62,38.4,37.6,38.0,12.9,3.7
63,38.4,37.6,38.0,12.9,3.7
64,38.4,37.6,38.0,12.9,3.7
65,38.4,37.6,38.0,12.9,3.7
66,38.4,37.6,38.0,12.9,3.7
67,52.5,54.0,53.1,19.8,4.8
68,52.5,54.0,53.1,19.8,4.8
69,52.5,54.0,53.1,19.8,4.8
70,52.5,54.0,53.1,19.8,4.8
71,52.5,54.0,53.1,19.8,4.8
72,52.5,54.0,53.1,19.8,4.8
73,52.5,54.0,53.1,19.8,4.8
74,54.0,52.1,53.2,13.5,1.7
75,54.0,52.1,53.2,13.5,1.7
76,54.0,52.1,53.2,13.5,1.7
77,54.0,52.1,53.2,13.5,1.7
78,54.0,52.1,53.2,13.5,1.7
79,54.0,52.1,53.2,13.5,1.7
80,54.0,52.1,53.2,13.5,1.7
81,54.0,52.1,53.2,13.5,1.7
82,54.0,52.1,53.2,13.5,1.7
83,54.0,52.1,53.2,13.5,1.7
84,54.0,52.1,53.2,13.5,1.7
85,54.0,52.1,53.2,13.5,1.7
86,54.0,52.1,53.2,13.5,1.7
87,54.0,52.1,53.2,13.5,1.7
88,54.0,52.1,53.2,13.5,1.7
89,54.0,52.1,53.2,13.5,1.7
90,54.0,52.1,53.2,13.5,1.7
91,54.0,52.1,53.2,13.5,1.7
92,82.3,89.9,86.0,58.6,18.2
93,82.3,89.9,86.0,58.6,18.2
94,82.3,89.9,86.0,58.6,18.2
95,82.3,89.9,86.0,58.6,18.2
96,82.3,89.9,86.0,58.6,18.2
97,82.3,89.9,86.0,58.6,18.2
98,82.3,89.9,86.0,58.6,18.2
99,82.3,89.9,86.0,58.6,18.2
100,42.6,42.5,42.6,11.1,2.2
101,42.6,42.5,42.6,11.1,2.2
102,42.6,42.5,42.6,11.1,2.2
103,42.6,42.5,42.6,11.1,2.2
104,42.6,42.5,42.6,11.1,2.2
105,42.6,42.5,42.6,11.1,2.2
106,42.6,42.5,42.6,11.1,2.2
107,42.6,42.5,42.6,11.1,2.2
108,42.6,42.5,42.6,11.1,2.2
109,42.6,42.5,42.6,11.1,2.2
110,42.6,42.5,42.6,11.1,2.2
111,42.6,42.5,42.6,11.1,2.2
112,42.6,42.5,42.6,11.1,2.2
113,42.6,42.5,42.6,11.1,2.2
114,42.6,42.5,42.6,11.1,2.2
115,42.6,42.5,42.6,11.1,2.2
116,42.6,42.5,42.6,11.1,2.2
117,42.6,42.5,42.6,11.1,2.2
118,45.9,45.5,45.7,9.0,1.5
119,45.9,45.5,45.7,9.0,1.5
120,45.9,45.5,45.7,9.0,1.5
121,45.9,45.5,45.7,9.0,1.5
122,45.9,45.5,45.7,9.0,1.5
