Region,Age group: 6-10,Age group: 11-15,Age group: 6-15,Age group: 16-20,Age group: 21-24
Region: West,60.5,60,60.3,34,20.1
Region: ..Dakar,73.7,65.7,69.7,34.2,21.3
Region: ..Thiès,45.4,52.4,48.6,33.6,17
Region: Central,35.5,44.4,39.3,25.3,11.7
Region: ..Diourbel,21.7,33.3,26.8,15.5,7.2
Region: ..Kaolack (2005),40.3,47.6,43.4,29.2,13.3
Region: ....Kaffrine,40.3,47.6,43.4,29.2,13.3
Region: ....Kaolack (2010),40.3,47.6,43.4,29.2,13.3
Region: ..Louga,30.3,40.7,34.6,24,8.4
Region: ..Fatick,54,58.6,56.1,35.5,19.6
Region: South,69.4,78.9,73.8,51,31.4
Region: ..Ziguinchor,83.2,90.2,86.6,69.1,47.7
Region: ..Kolda (2005),63,73.1,67.6,40.1,17.8
Region: ....S_dhiou,63,73.1,67.6,40.1,17.8
Region: ....Kolda (2010),63,73.1,67.6,40.1,17.8
Region: North and East,45,52.6,48.5,22.6,4.9
Region: ..Matam,37.7,40.9,39.1,11.7,2.6
Region: ..Saint Louis,47.3,52.9,50,23.6,6.2
Region: ..Tambacounda (2005),47.3,58.6,52.5,27.3,4.7
Region: ....K_dougou,47.3,58.6,52.5,27.3,4.7
Region: ....Tambacounda (2010),47.3,58.6,52.5,27.3,4.7
