arr,Male Age group in school: 6-10,Male Age group in school: 11-15,Male Age group in school: 6-15,Male Age group in school: 16-20,Male Age group in school: 21-24
0,73.7,65.7,69.7,34.2,21.3
1,73.7,65.7,69.7,34.2,21.3
2,73.7,65.7,69.7,34.2,21.3
3,73.7,65.7,69.7,34.2,21.3
4,73.7,65.7,69.7,34.2,21.3
5,73.7,65.7,69.7,34.2,21.3
6,73.7,65.7,69.7,34.2,21.3
7,73.7,65.7,69.7,34.2,21.3
8,73.7,65.7,69.7,34.2,21.3
9,73.7,65.7,69.7,34.2,21.3
10,73.7,65.7,69.7,34.2,21.3
11,73.7,65.7,69.7,34.2,21.3
12,73.7,65.7,69.7,34.2,21.3
13,73.7,65.7,69.7,34.2,21.3
14,73.7,65.7,69.7,34.2,21.3
15,73.7,65.7,69.7,34.2,21.3
16,73.7,65.7,69.7,34.2,21.3
17,73.7,65.7,69.7,34.2,21.3
18,73.7,65.7,69.7,34.2,21.3
19,73.7,65.7,69.7,34.2,21.3
20,73.7,65.7,69.7,34.2,21.3
21,73.7,65.7,69.7,34.2,21.3
22,21.7,33.3,26.8,15.5,7.2
23,21.7,33.3,26.8,15.5,7.2
24,21.7,33.3,26.8,15.5,7.2
25,21.7,33.3,26.8,15.5,7.2
26,21.7,33.3,26.8,15.5,7.2
27,21.7,33.3,26.8,15.5,7.2
28,21.7,33.3,26.8,15.5,7.2
29,21.7,33.3,26.8,15.5,7.2
30,54.0,58.6,56.1,35.5,19.6
31,54.0,58.6,56.1,35.5,19.6
32,54.0,58.6,56.1,35.5,19.6
33,54.0,58.6,56.1,35.5,19.6
34,54.0,58.6,56.1,35.5,19.6
35,54.0,58.6,56.1,35.5,19.6
36,54.0,58.6,56.1,35.5,19.6
37,54.0,58.6,56.1,35.5,19.6
38,54.0,58.6,56.1,35.5,19.6
39,30.3,40.7,34.6,24.0,8.4
40,30.3,40.7,34.6,24.0,8.4
41,30.3,40.7,34.6,24.0,8.4
42,30.3,40.7,34.6,24.0,8.4
43,30.3,40.7,34.6,24.0,8.4
44,30.3,40.7,34.6,24.0,8.4
45,30.3,40.7,34.6,24.0,8.4
46,30.3,40.7,34.6,24.0,8.4
47,30.3,40.7,34.6,24.0,8.4
48,30.3,40.7,34.6,24.0,8.4
49,30.3,40.7,34.6,24.0,8.4
50,40.3,47.6,43.4,29.2,13.3
51,40.3,47.6,43.4,29.2,13.3
52,40.3,47.6,43.4,29.2,13.3
53,40.3,47.6,43.4,29.2,13.3
54,40.3,47.6,43.4,29.2,13.3
55,40.3,47.6,43.4,29.2,13.3
56,40.3,47.6,43.4,29.2,13.3
57,40.3,47.6,43.4,29.2,13.3
58,40.3,47.6,43.4,29.2,13.3
59,40.3,47.6,43.4,29.2,13.3
60,40.3,47.6,43.4,29.2,13.3
61,40.3,47.6,43.4,29.2,13.3
62,40.3,47.6,43.4,29.2,13.3
63,40.3,47.6,43.4,29.2,13.3
64,40.3,47.6,43.4,29.2,13.3
65,40.3,47.6,43.4,29.2,13.3
66,40.3,47.6,43.4,29.2,13.3
67,47.3,52.9,50.0,23.6,6.2
68,47.3,52.9,50.0,23.6,6.2
69,47.3,52.9,50.0,23.6,6.2
70,47.3,52.9,50.0,23.6,6.2
71,47.3,52.9,50.0,23.6,6.2
72,47.3,52.9,50.0,23.6,6.2
73,47.3,52.9,50.0,23.6,6.2
74,63.0,73.1,67.6,40.1,17.8
75,63.0,73.1,67.6,40.1,17.8
76,63.0,73.1,67.6,40.1,17.8
77,63.0,73.1,67.6,40.1,17.8
78,63.0,73.1,67.6,40.1,17.8
79,63.0,73.1,67.6,40.1,17.8
80,63.0,73.1,67.6,40.1,17.8
81,63.0,73.1,67.6,40.1,17.8
82,63.0,73.1,67.6,40.1,17.8
83,63.0,73.1,67.6,40.1,17.8
84,63.0,73.1,67.6,40.1,17.8
85,63.0,73.1,67.6,40.1,17.8
86,63.0,73.1,67.6,40.1,17.8
87,63.0,73.1,67.6,40.1,17.8
88,63.0,73.1,67.6,40.1,17.8
89,63.0,73.1,67.6,40.1,17.8
90,63.0,73.1,67.6,40.1,17.8
91,63.0,73.1,67.6,40.1,17.8
92,83.2,90.2,86.6,69.1,47.7
93,83.2,90.2,86.6,69.1,47.7
94,83.2,90.2,86.6,69.1,47.7
95,83.2,90.2,86.6,69.1,47.7
96,83.2,90.2,86.6,69.1,47.7
97,83.2,90.2,86.6,69.1,47.7
98,83.2,90.2,86.6,69.1,47.7
99,83.2,90.2,86.6,69.1,47.7
100,47.3,58.6,52.5,27.3,4.7
101,47.3,58.6,52.5,27.3,4.7
102,47.3,58.6,52.5,27.3,4.7
103,47.3,58.6,52.5,27.3,4.7
104,47.3,58.6,52.5,27.3,4.7
105,47.3,58.6,52.5,27.3,4.7
106,47.3,58.6,52.5,27.3,4.7
107,47.3,58.6,52.5,27.3,4.7
108,47.3,58.6,52.5,27.3,4.7
109,47.3,58.6,52.5,27.3,4.7
110,47.3,58.6,52.5,27.3,4.7
111,47.3,58.6,52.5,27.3,4.7
112,47.3,58.6,52.5,27.3,4.7
113,47.3,58.6,52.5,27.3,4.7
114,47.3,58.6,52.5,27.3,4.7
115,47.3,58.6,52.5,27.3,4.7
116,47.3,58.6,52.5,27.3,4.7
117,47.3,58.6,52.5,27.3,4.7
118,37.7,40.9,39.1,11.7,2.6
119,37.7,40.9,39.1,11.7,2.6
120,37.7,40.9,39.1,11.7,2.6
121,37.7,40.9,39.1,11.7,2.6
122,37.7,40.9,39.1,11.7,2.6
