Region,Source of drinking water: Piped water,Source of drinking water: Well water,Source of drinking water: Surface water,Source of drinking water: Rainwater,Source of drinking water: Bottled water/Demi John,Source of drinking water: Other,Time to water source: Water within 15 minutes,Time to water source: Median time to source,Type of toilet facility: Flush toilet,Type of toilet facility: Pit toilet latrine,Type of toilet facility: No facility,Has electricity: No,Has electricity: Yes,Main floor material: Natural,Main floor material: Rudimentary,Main floor material: Finished
Region: West,89.2,6.2,0.2,0,2.4,1.9,91.6,0,50.3,47,2.7,16,84,11.5,0.1,88.2
Region: ..Dakar,92.9,2.2,0.2,0,3,1.6,96.3,0,69,30.5,0.5,6.4,93.6,4.9,0,95.1
Region: ..Thiès,81.6,14.6,0,0,1.3,2.6,81.7,0,11.6,81.2,7.2,35.8,64.2,25.4,0.3,73.9
Region: Central,73.2,21.1,0.5,0.1,0.7,4.5,76.6,0,17.2,50.1,32.6,60.5,39.5,45.5,0.2,54.3
Region: ..Diourbel,77.6,11.8,0.1,0,2,8.6,86.7,0,20.8,59.8,19.4,47.1,52.9,31.2,0.1,68.6
Region: ..Kaolack (2005),76.3,22.9,0,0,0.2,0.7,75.4,4.3,15.3,44.7,40,68.1,31.9,45.2,0.2,54.6
Region: ....Kaffrine,76.1,23.4,0,0,0,0.5,73.5,4.5,18.1,33.9,48.1,79.9,20.1,64.6,0.2,35.2
Region: ....Kaolack (2010),76.3,22.6,0,0,0.3,0.8,76.6,4.2,13.5,51.6,34.8,60.5,39.5,32.8,0.2,67
Region: ..Louga,82.8,14.5,1.2,0,0,1.6,77.4,0,16.7,50.5,32.8,63.8,36.2,60.7,0.4,38.9
Region: ..Fatick,46.6,43.4,1.4,0.3,0.3,8,58.4,9.4,14.7,41.9,43.4,67.2,32.8,55.6,0.2,44.2
Region: South,16,83.4,0.5,0,0.1,0.1,73.6,0,3.4,83.9,12.6,64.3,35.7,55.5,0,44.4
Region: ..Ziguinchor,30.9,68.4,0.5,0,0,0.1,76.2,1.1,4.3,81.8,13.9,41.5,58.5,41.5,0,58.5
Region: ..Kolda (2005),7,92.4,0.5,0,0.1,0.1,72.1,0,2.9,85.2,11.9,78,22,64,0.1,35.9
Region: ....S_dhiou,4.7,95,0.2,0,0,0.2,71,0,0.9,89.8,9.3,76.9,23.1,65.7,0,34.3
Region: ....Kolda (2010),8.6,90.6,0.7,0,0.1,0,72.8,0.2,4.3,82,13.7,78.8,21.2,62.8,0.1,37.1
Region: North and East,47.6,44.8,5.5,0.8,0,1.2,67.2,2.3,13.4,58.4,28,61.7,38.3,50,0.7,49.3
Region: ..Matam,48.7,47.9,2.4,0.3,0,0.7,68.5,0.1,11.8,50.2,38,65.6,34.4,54.9,0.7,44.5
Region: ..Saint Louis,68.5,19.7,9.1,0.2,0,2.5,81.3,0,23.8,55.9,19.8,45.4,54.6,37.9,1.3,60.8
Region: ..Tambacounda (2005),21.4,73.6,3,1.8,0.1,0.1,49.2,14,1.8,66.5,31.7,79,21,61.6,0.2,38.2
Region: ....K_dougou,13.6,73.7,12.4,0.2,0,0,57.8,9.4,1.6,43.2,55.3,81.1,18.9,68.7,0.2,31.1
Region: ....Tambacounda (2010),23.1,73.6,0.9,2.1,0.1,0.1,47.3,14.1,1.8,71.7,26.5,78.5,21.5,60,0.2,39.8
